Question,Label,hindi_question,manually_translated_hindi,english_transliterated,disease,treatment plan,drug
does bad breath have anything to do with ketones,Other,क्या खराब सांस का कीटोन्स से कोई लेना-देना है,क्या सांसों की बदबू का कीटोन्स से कोई लेना-देना है?,kya samsom ki badabu ka kitonsa se koi lena-dena hai?,,,
can h pylori cause itp?,Disease,एच पाइलोरी आईटीपी का कारण बन सकता है?,क्या एच पाइलोरी आईटीपी का कारण बन सकता है?,kya h pylori itp ka karana bana sakata hai?,"एच पाइलोरी, आईटीपी",,
what happens if all of the sac from a sebaceous cyst is not removed?,Disease,क्या होता है अगर एक वसामय पुटी से थैली के सभी हटा नहीं है?,क्या होता है यदि एक वसामय पुटी से सभी थैली को नहीं हटाया जाता है?,kya hota hai yadi eka vasamaya puti se sabhi thaili ko nahim hataya jata hai?,एक वसामय पुटी,,
what is antiemetic,Drug,Antiemetic क्या है,एंटीमैटिक क्या है?,antiemetic kya hai?,,,एंटीमैटिक
can tonsil stones harm your teeth?,Disease,क्या टॉन्सिल पत्थर आपके दांतों को नुकसान पहुंचा सकते हैं?,क्या टॉन्सिल स्टोन आपके दांतों को नुकसान पहुंचा सकते हैं?,kya tonsil stone apake damtom ko nukasana pahumcha sakate haim?,टॉन्सिल स्टोन,,
can you get lyme disease from bone graph,Treatment,आप हड्डी ग्राफ से लाइम रोग हो सकता है,क्या आपको बोन ग्राफ्ट से लाइम रोग हो सकता है,kya apako bone graft se lyme roga ho sakata hai,लाइम रोग,बोन ग्राफ्ट,
can cialis treat retrograde ejaculation,Treatment,कैन सियालिस प्रतिगामी स्खलन का इलाज कर सकते हैं,क्या सियालिस प्रतिगामी स्खलन का इलाज कर सकता है,kya cialis pratigami skhalana ka ilaja kara sakata hai,प्रतिगामी स्खलन,सियालिस,
can taking certain perscription or otc drugs/supplements cause a loss of penile sensation,Drug,कुछ perscription या otc दवाओं / पूरक लेने से पेनाइल सनसनी का नुकसान हो सकता है,क्या कुछ ओटीसी दवाएं/सप्लीमेंट्स लेने से पेनाइल सनसनी का नुकसान हो सकता है,kya kucha  otc davaem/saplimemtsa lene se penile sanasani ka nukasana ho sakata hai,,,ओटीसी दवाएं/सप्लीमेंट्स
can allergy shots cause hemorrhoids?,Disease,एलर्जी शॉट्स बवासीर का कारण बन सकते हैं?,क्या एलर्जी शॉट्स बवासीर का कारण बन सकते हैं?,kya allergy shots bavasira ka karana bana sakate haim?,बवासीर,,एलर्जी शॉट्स
do babies in the womb get hiccups?,Other,क्या गर्भ में पल रहे बच्चों को हिचकी आती है?,क्या गर्भ में पल रहे बच्चों को हिचकी आती है?,kya garbha mem pala rahe bachchom ko hichaki ati hai?,,,
